Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Prefeitura Municipal;Prefeitura;diretora de cultura;Diretor;Corumbá de Goiás;52;GO;GOIÁS;Servidor da Pasta de Cultura;Se virará uma política pública permanente?;Como será para municípios que não tem o Sistema Municipal de Cultura?
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Assessora;Assessor;Novo Gama;52;GO;GOIÁS;Servidor da Pasta de Cultura;Até quando pode ser executado o projeto. Data limite;"Associações podem participar, PNCV.
Ex: associação dos amigos do celular.
O recurso vai ser fechado por município"
Prefeitura de Palmeiras de Goiás;Prefeitura;Superintendente de Cultura;Superintendente;Palmeiras de Goiás;52;GO;GOIÁS;Servidor da Pasta de Cultura;Como fazer a devolução do dinheiro que restou na conta LPG???;"Como elaborar edital dentro da normalidade da Lei.

Passo a passo de fazer o lançamento no sistema PAAR"
Secretaria de Cultura de Portelândia;Secretaria Municipal de Cultura;Assessoria;Assessor;Portelândia;52;GO;GOIÁS;Consultor;Se os beneficiários precisam comprovar a utilização dos recursos recebidos e como deve ser feita essa comprovação;Sobre a definição dos objetos a serem financiados pela PNAB
SECTUR Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Assessor Chefe Divisão de Prestação de contas;Assessor;Campo Grande;21;MA;MARANHÃO;Servidor da Pasta de Cultura;O agente cultural não precisa prestar contas dos recursos financeiros recebido por meio da conta específica, aberta para o Termo de Execução Cultural, no qual o agente é o ordenador  das despesas?;Haverá obrigatoriedade do agente cultural prestar contas do recurso financeiro recebido? Ou semente o relatório de execução cultural?
Secretaria Municipal de Cultura e Eventos;Secretaria Municipal de Cultura;Secretário Municipal de Cultura;Secretário;Balsas;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Relatório de Gestão Final e Prestação de Contas;Aplicação da legislação 14133/2021 e do Decreto
Secretaria municipal de cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Davinópolis;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Todas;Todas
SECULT;Secretaria Municipal de Cultura;Secretário municipal de cultura;Secretário;Turiaçu;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Prestação de contas;Prestação de contas e sobre cobranças de impostos
Secretaria Municipal de Cultura, Turismo, Esporte e Laser;Secretaria Municipal de Cultura;Secretário;Secretário;Sambaíba;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Formação do Plano e Sistema de Cultura;Todas
Assistência social;Sociedade Civil;Assessora;Assessor;Sambaiba;21;MA;MARANHÃO;Consultor;Editais;PAAR
Federação dos Municípios do Estado do Maranhão-FAMEM;Sociedade Civil;Coordenação do setor de Cultura;Coordenador;São Luís;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Sem dúvidas.;A execução em ano eleitoral
Prefeitura Municipal de Matões -MA;Prefeitura;Secretária de Municipal de Gestão de Convênios e Programas Federais e Estaduais;Secretário;Matões;21;MA;MARANHÃO;Consultor;Execução da Lei;Execução da Lei
SECRETARIA MUNICIPAL DE CULTURA;Secretaria Municipal de Cultura;CHEFE DE GABINETE;Chefe de Gabinete;são luís;21;MA;MARANHÃO;Servidor da Pasta de Cultura;É melhor para a cultura alcançar mais pessoas pagando menos para cada uma ou menos pessoas pagando mais?;É melhor para a cultura alcançar mais pessoas pagando menos para cada uma ou menos pessoas pagando mais?
Prefeitura Municipal de Matões -MA;Prefeitura;Secretária de Municipal de Gestão de Convênios e Programas Federais e Estaduais;Secretário;Matões;21;MA;MARANHÃO;Consultor;Execução da Lei;Execução da Lei
Secretaria Municipal de Juventude,Cultura, Turismo, Esporte e Lazer;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Matões;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Execução;Execução e rateio
Secretaria de Cultura de Santo Amaro do Maranhão;Secretaria Municipal de Cultura;Secretário;Secretário;Santo Amaro;21;MA;MARANHÃO;Gestor da Pasta de Cultura;"Busquei formas de baixar o arquivo, mas não consegui. 
Gostaria de ler primeiro.";Estou buscando informações
Secretaria de Educacao;Secretaria Municipal de Educação;Supervisora;Consultor;Matões;21;MA;MARANHÃO;Consultor;###;###
Prefeitura municipal de Carutapera;Prefeitura;Secretário adjunto de cultura, esporte e lazer;Secretário;Carutapera;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Todo ele.;Algumas.
Secretaria de cultura e juventude;Secretaria Municipal de Cultura;Secretário de cultura;Secretário;Cantanhede;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Prestação de contas;Aplicabilidade do recurso.
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Assessor de Cultura;Assessor;São Mateus do Maranhão;21;MA;MARANHÃO;Servidor da Pasta de Cultura;Como agir caso o proponente não entregar o produto do audiovisual dentro dos parâmetros técnicos estabelecidos no edital?;Xxx
Semuc;Secretaria Municipal de Cultura;Gestora;Indefinido;PARNARAMA;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Prestação de conta;"Implantação 
Destinação"
Secretaria de cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Nina Rodrigues;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Execução da lei;Realização do cadastro
Prefeitura municipal de Nova Olinda do Maranhão;Prefeitura;Secretário municipal de Cultura e Turismo;Secretário;Nova Olinda do Maranhão;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Prestação de contas;PAAR E EXECUÇÃO
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Coordenador técnico;Coordenador;São Luís;21;MA;MARANHÃO;Servidor da Pasta de Cultura;Valores para cada município e como será dividido por segmento;Valores para cada município e como será dividido por segmento
SEMUC-PINHEIRO;Secretaria Municipal de Cultura;Secretário Municipal de Cultura;Secretário;PINHEIRO;21;MA;MARANHÃO;Gestor da Pasta de Cultura;PRESTAÇÃO DE CONTAS;ENTENDIMENTO SOBRE AS ETAPAS
Secretaria Municipal de Juventude,Cultura, Turismo, Esporte e Lazer;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Matões;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Execução de recursos;Execução do recurso, rateio dos valores, ações financiadas.
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Paraibano;21;MA;MARANHÃO;Gestor da Pasta de Cultura;Tem como relatar melhor o processo de prestação de conta dos contemplados pela LPG ?;A administração pública pode realizar compras de materiais para o fomento de cultura ?
Secult ma;Secretaria Estadual de Cultura;Tecnica administrativa de nivel superior especialista em arte;Técnico;São Luís;21;MA;MARANHÃO;Servidor da Pasta de Cultura;Quais as atividades que serão contempladas e se haverá contrapartida do artista, gestor cultural;Nao tenho
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Apoio técnico;Auxiliar;São Luís;21;MA;MARANHÃO;Servidor da Pasta de Cultura;Todas;Todas
Secretaria Municipal de Educação,Cultura,Esporte e Lazer;Secretaria Municipal de Cultura;Diretor Departamento de Cultura;Diretor;Ipiranga do Norte;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;"Remanejamento de Recursos

Comissão de seleção";"Qual valor destinado aos municipios de porte pequeno?

Qual o prazo para execução?"
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Diretor de Cultura;Diretor;Araputanga;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;.;.
Secretaria municipal de Cultura;;Professora;Técnico;Santa Terezinha;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;Como prestar contas;Como realizar a escuta publica e edital
Departamento de Cultura;Diretoria de Cultura;Chefe de cultura;Diretor;Tapurah;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Quem participou ano passado  pode participar  novamente?;Podem participar  da Paulo Gustavo e da PNAB ao mesmo tempo?
Secretaria de Cultura;Secretaria Municipal de Cultura;Gerente da cultura;Gerente;Vila Bela da Santíssima Trindade;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;Todas;Todas
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretaria;Secretário;Ribeirãozinho;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Áudio Visual e prestação de conta;Execução
Secretaria Municipal de Comunicação Social e Cultura;Secretaria Municipal de Cultura;Secretario;Secretário;Ponte Branca;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Acho que não.;Como cadastrar o PAAR
Secretaria de educação e cultura;Secretaria Municipal de Educação;Diretora de cultura;Diretor;Cocalinho;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Principalmente onde usar os recursos;Também, uma das dúvidas é, o de é como usar os recursos.
Prefeitura Municipal de Poconé;Prefeitura;Diretora de Cultura;Diretor;Poconé;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;LPG - Se realmente terá a aprovação para implantar igual o PAAR para receber o recurso por 05 anos .;A execução da obra, se o município de Poconé pode usar para restauro ou aquisição de equipamentos para Cultura.
Sec Cultura e Turismo;Secretaria Municipal de Cultura;Coordenador;Coordenador;Planalto da Serra;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;Prestaçao;Adequaçao orçamentaria.
Sectur _ Secretaria de Cultura e Turismo de Santo Antônio do Leverger;Secretaria Municipal de Cultura;Assistente Administrativo;Auxiliar;Santo Antônio de Leverger;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;Quero participar para conhecer todas as possibilidades existentes na LPG.;Quero aprimorar o conhecimento.
SECTUR- Secretaria de Cultura e Turismo de Santo Antônio de Leverger;Secretaria Municipal de Cultura;Gestora da pasta;Indefinido;Santo Antônio do Leverger;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Não;Não
Cultura;Secretaria Municipal de Cultura;Secretária;Secretário;Araputanga;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Com funcionará;Todas
Secretaria de Turismo e Cultura;Secretaria Municipal de Cultura;Supervisor de departamento;Gerente;Nobres;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;"* Prestação de contas; 
* Data limite para destinação dos recursos;";"* Como podemos investir os recursos;
* Qual data limite para destinação de recursos;
* Preenchimento do plano de trabalho;"
SECRETARIA DE EDUCAÇÃO E CULTURA E DESPORTO;Secretaria Estadual de Cultura;COORDENADORA DE CULTURA;Coordenador;GUARANTÃ DO NORTE;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;SOBROU DINHEIRO DO RECURSO, PODEMOS APLICAR ELE NOVAMENTE EM OUTRA AREA OU DEVEMOS FAZER A DEVOLUÇÃO?;SOBROU DINHEIRO DO RECURSO, PODEMOS APLICAR ELE NOVAMENTE EM OUTRA AREA OU DEVEMOS FAZER A DEVOLUÇÃO? E SE FORMOS DEVOLVER COMO IREMOS DEVOLVER
Prefeitura Municipal de Dom Aquino-MT;Prefeitura;Professora em função  na Secretaria de Turismo Cultura e Meio Ambiente;Técnico;Dom Aquino;51;MT;MATO GROSSO;Servidor da Pasta de Cultura;1-Prestação de contas. 2- Caso não  seja executado um objeto  da planilha  orçamentária  por um imprevisto, o proponente  pode obter autorização  e remanejar para outro objeto do seu projeto  ou tem que extornar este valor para o Ministério? De que forma fazemos para orientar certo?;Sei que o edital precisa estar em conformidade com a escuta pública, mas tenho dúvidas  se podemos  fazer um único  edital  que contemple mais de um objeto  de Cultura a ser realizado  com o recurso em forma de Festival pelo proponente e ou agente cultural  que vencer  na avaliação  da comissão?
Prefeitura municipal de Santa Rita do Trivelato;Prefeitura;Adjunto de Cultura;Indefinido;Santa Rita do Trivelato;51;MT;MATO GROSSO;Gestor da Pasta de Cultura;Prestação de conta de premiação;Meu município é pequeno posso usar o valor todo em premiação
SECTUR CG;Secretaria Municipal de Cultura;Gerente de Políticas Públicas;Gerente;Campo Grande;50;MS;MATO GROSSO DO SUL;Servidor da Pasta de Cultura;Relatório do Fiscal;O agente pode fazer locação de espaço cultural com o recurso?
Sectur;Secretaria Municipal de Cultura;Gestor de processo;Gerente;Campo Grande;50;MS;MATO GROSSO DO SUL;Servidor da Pasta de Cultura;Relatório de gestão pra incluir na plataforma transferegov;PAAR, editais
Fundação de cultura de mato Grosso do Sul;Fundação;Gerente de projetos;Gerente;Campo Grande;50;MS;MATO GROSSO DO SUL;Servidor da Pasta de Cultura;Editais;Editais
Secretaria Municipal de Cultura de Dourados;Secretaria Municipal de Cultura;Assessora de Planejamento;Assessor;Dourados;50;MS;MATO GROSSO DO SUL;Servidor da Pasta de Cultura;Como devolver o recurso que sobrou RM conta.;Quando serão lançados os Editais modelos
Prefeitura Municipal de Ponta Porã;Prefeitura;Secretária Adjunta;Secretário;Ponta Porã;50;MS;MATO GROSSO DO SUL;Agente Cultural;Algumas;Preciso assimilar
Prefeitura;Prefeitura;Coordenador;Coordenador;Batayporã;50;MS;MATO GROSSO DO SUL;Servidor da Pasta de Cultura;Terá opção de adiar a prestação de contas;Terá possibilidade de adiar a prestação de contas
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenadora de Marketing do Turismo;Coordenador;Ouro Preto;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Prazo de execução e prestação de contas.;Prazo de execução e prestaçãoção de contas.
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenadora de Marketing do Turismo;Coordenador;Ouro Preto;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"Prestação de contas e
Prazo de execução";"Prazo de execução e
Prestação de contas"
secretaria de cultura e turismo;Secretaria Municipal de Cultura;secretaria;Secretário;canaa;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Se ela sera anual;se ela sera anaul
PREFEITURA MUNICIPAL DE SANTA BÁRBARA DO MONTE VERDE;Prefeitura;SECRETÁRIA DE CULTURA;Secretário;SANTA BARBARA DO MONTE VERDE;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Gostaria de saber como será feita a prestação de Contas.;Enviamos o Plano de Ação da Lei Aldir Blanc e o Ministério da Cultura disse que o Plano de Ação do Município de Santa Bárbara do Monte Verde não foi enviado, eu tirei uma foto como comprovação que eu enviei o plano, mas disseram que não está na plataforma. Conversei com o Rubens do MINC quando enviei o plano no dia 11, e ele disse que estava tudo certinho. e Depois recebi uma mensagem que meu plano não estava cadastrado. Fiquei muito triste pq o Rubens disse que tava tudo certo, e perdi este recurso para meu município. Se tivesse errado ele poderia ter me orientado, tem algo que possa fazer para eu receber este recurso??
SECRETARIA DE CULTURA ESPORTE LAZER E TURISMO;Secretaria Municipal de Cultura;COORDENAÇÃO DE CULTURA E TURISMO;Coordenador;CONCEIÇÃO DAS ALAGOAS;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;NÃO TENHO;NÃO TENHO
Secretaria de Cultura;Secretaria Municipal de Cultura;Auxiliar;Auxiliar;Porteirinha;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;0;0
Fundação Cultural de Ituiutaba;Fundação;Presidente - Diretor;Diretor;Ituiutaba;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Todas;Todas
PREFEITURA MUNICIPAL DE CONCEIÇÃO DAS ALAGOAS;Fundação;COORDENAÇÃO DE CULTURA E TURISMO;Coordenador;CONCEIÇÃO DAS ALAGOAS;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;NÃO TENHO;NÃO TENHO
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Direção e Assessoramento;Diretor;Vespasiano;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Desenvolvimento da Política Cultura Viva;O prazo pra execução dos recursos, sobretudo quando se tratar de formar de equipamentos públicos
Funalfa;Fundação;Gerente do Departamento de Memória e Patrimônio;Gerente;Juiz de Fora;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Aguardando a reunião para formular melhor as dúvidas;Não há
Secretaria de Educação Cultura Esportes e Juventude de Esmeraldas;Secretaria Municipal de Educação;Assessor de Patrimônio;Assessor;Esmeraldas;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Detalhes da abertura da Conta Corrente no Banco do Brasil pelos proponentes.;Assim como na Paulo Gustavo, o PNAB não incidirá IRPF?
Funalfa;Fundação;Supervisora de contratos;Gerente;Juiz de Fora;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Não se aplica;Como deverá ser feita a alocação do recurso no PAAR com destinação para manutenção da Praça CEU,
PREFEITURA MUNICIPAL DE CAETANOPOLIS;Prefeitura;SECRETÁRIA DE CULTURA E TURISMO;Secretário;CAETANÓPOLIS;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;criação do Edital;Criação e elaboração do Edital
Diretoria Municipal de Cultura;Diretoria de Cultura;Assistente Administrativo;Auxiliar;Coromandel;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;Como elaborar o PAAR
Funalfa;Fundação;Gerente Departamento Dinamicas Culturais;Gerente;Juiz de Fora;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;nenhuma;editais
PREFEITURA MUNICIPAL;Prefeitura;SECRETÁRIA MUNICIPAL DE CULTURA, LAZER E TURISMO;Secretário;Pedro Leopoldo;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Prestação de Contas;PRRAR
FUNDAÇÃO CULTURAL DE UBERABA;Fundação;COORDENADORA DE INCENTIVO A PROJETOS CULTURAIS;Coordenador;Uberaba;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;ESTAMOS FINALIZANDO O PROCESSO DE EXECUÇÃO DA LEI PAULO GUSTAVO. ESTAMOS FAZENDO OS PAGAMENTOS DOS PROPONENTES APROVADOS.;SE REFEREM AO CULTURA VIVA. COMO OPERACIONALIZAR AS AÇÕES.
Escritório do MinC em Minas Gerais;Ministério da Cultura;Servidor;Indefinido;Belo Horizonte;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;.;.
Secretaria Municipal de Turismo e Cultura;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Caparaó;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;execução de projetos;execução de projetos
Fundação Cultural de Ituiutaba Minas gerais;Fundação;Assessor Administrativo;Assessor;Ituiutaba;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;Editais
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Fama;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Pretacao de contas;Cronograma e execução
SEC CULTURA, ESPORTE, LAZER E TURISMO;Secretaria Municipal de Cultura;SECRETÁRIO;Secretário;Araújos;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;A divisão dos recursos pela União.;Qual o período de realização e prestação de contas dos projetos?
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Resp. pelo Programa de Educação Patrimonial;Indefinido;Cataguases;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Não tenho dúvidas relativas a LPG;"Como cadastrar Cultura Popular (Folias de Reis, Bate Pau...) na Política Nacional de Cultura Viva? Tem que fazer o cadastro como Ponto de Cultura? 
Para receber premiação e/ou bolsas para agentes de cultura, também será necessário fazer o cadastro como Ponto de Cultura?
Estamos em dúvida quanto à criação dos Pontos de Cultura, pois gostaríamos de privilegiar as comunidades mais afastados do centro da cidade e precisamos informá-las sobre os procedimentos"
SECRETARIA DE CULTURA, ESPORTE, LAZER, TURISMO E EVENTOS;Secretaria Municipal de Cultura;ENCARREGADO DE CULTURA, TURISMO E EVNTOS.31;Indefinido;São Brás do Suaçuí;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Aplicação de recursos;Aplicação de recursos
Secretaria de cultura;Secretaria Municipal de Cultura;Consultor;Consultor;Santa Rita do Sapucaí;31;MG;MINAS GERAIS;Consultor;Informações gerais;Informações gerais
Prefeitura De Itacambira MG;Prefeitura;Assessor;Assessor;Montes Claros;31;MG;MINAS GERAIS;Consultor;N/A;N/A
SECRETARIA DE CULTURA, ESPORTE, LAZER, TURISMO E EVENTOS;Secretaria Municipal de Cultura;ENCARREGADO DE CULTURA, TURISMO E EVNTOS.31;Indefinido;São Brás do Suaçuí;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Aplicação dos recursos de forma mais eficiente.;Aplicação dos recursos.
Secretaria Municipal de Turismo e Cultura;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Caparaó;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Não tenho dúvidas.;Aplicação dos recursos para eventos municipais.
escritório estadual do Minc;Ministério da Cultura;servidor público - pedagogo;Técnico;Belo Horizonte;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Sobre o processo de prestação de contas pelos beneficiários finais, municípios e estados. Qual o papel do Minc e dos escritórios nesse processo? Outra dúvida é referente aos canais e procedimentos que a sociedade civil deve seguir para realizar denúncia sobre irregularidades, quais situações se enquadraria em irregularidades na execução da lei?;Sobre o processo de prestação de contas pelos beneficiários finais, municípios e estados. Qual o papel do Minc e dos escritórios nesse processo? Outra dúvida é referente aos canais e procedimentos que a sociedade civil deve seguir para realizar denúncia sobre irregularidades, quais situações se enquadraria em irregularidades na execução da lei?
MUNICIPIO DE BOM DESPACHO;Prefeitura;TEC EM GESTAO PUBLICA;Técnico;BOM DESPACHO;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;-;-
Secretaria de Esporte, Cultura e Lazer;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;Belo Horizonte;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Após executar o plano de ação da Paulo Gustavo a prestação de contas para o governo federal deve ser após o repasse dos recursos ou devemos aguardar a execução dos participantes?;Como aplicar o recurso no Cultura Viva se no Município não tem Ponto de Cultura credenciado?
prefeitura de Japaraíba;Prefeitura;diretora de cultura;Diretor;Japaraíba;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Estamos finalizado a LPG, estamos aguardando os proponentes apresentarem suas prestações de contas.;Estou com duvida sobre aplicação dos recursos e na elaboração do PAAR.
Secretaria Municipal de Turismo e Cultura;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Caparaó;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Estou ciente da legislação.;Real investimento por parte das prefeituras.
Prefeitura;Prefeitura;Assessoria;Assessor;São Domingos das Dores;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;Execução correta e preenchimento da proposta
Prefeitura Municipal;Prefeitura;Diretor de Cultura3;Diretor;Congonhal;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Até o momento tudo bem entendido.;Ainda preciso entender melhor.
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Frutal;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Quero entender se o prazo para que os agentes culturais executem os projetos podem ser em 2025 ou se tudo tem que estar finalizado até 31 de dezembro de 2024.;Os 20% para regiões periféricas e rurais deve ser calculado referente ao valor total? ou no caso dos recursos de pontos de cultura o calculo tem que ser separado?
Secretaria de cultura e turismo;Secretaria Municipal de Cultura;Chefe de setor;Gerente;Ouro Preto;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Como finalizar ?;Como vai ser feito o processo ?
Prefeitura Municipal de Grão Mogol;Prefeitura;Secretária de Cultura;Secretário;Grão Mogol;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Até quando podemos usar o recurso, uma vez que esse ano é eleitoral e teremos restrições;Até quando podemos utilizar o recurso.
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenadora III;Coordenador;Bom Despacho;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;É obrigatório a prestação de contas para a própria secretaria de Cultura?;Qual o valor que podemos usar como premiação?
SECULT Alpinópolis;Secretaria Municipal de Cultura;Secretário;Secretário;Alpinópolis;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Nenhuma, acompanhar a discussão.;Diversas.
Secretaria Municipal de Educação, Cultura, Lazer e Esporte;Secretaria Municipal de Educação;Chefe de Divisão: Cultura e Turismo;Gerente;Carmo do Paranaíba;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Período de execução;Documentação necessária
SECRETARIA MUNICIPAL  DE CULTURA, TURISMO ,ESPORTE E JUVENTUDE- SECTEJ;Secretaria Municipal de Cultura;GERENTE;Gerente;BURITIZEIRO;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;ORIENTAÇÕES MAIS PRECISA DA PRESTAÇÃO DE CONTAS A SER ENVIADA;PROCEDIMENTOS DE AQUISIÇÃO DE EQUIPAMENTOS E OBRAS CULTURAIS PELA PREFEITURA MUNICIPAL
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenadora III;Coordenador;Bom Despacho;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;É obrigatório a prestação de contas para a própria secretaria de Cultura?;Qual o valor que podemos usar como premiação?
Prefeitura Municipal de Bom Despacho;Prefeitura;Tecnico em Gestão Publica;Técnico;Bom Despacho;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;-;-
Secretaria de Cultura, Esporte, Lazer e Turismo;Secretaria Municipal de Cultura;Assessora de Cultura;Assessor;Lavras;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"O município de Lavras já executou os recursos da LPG e realizou os pagamentos em dezembro de 2023. 
Faremos a reabertura dos editais com saldo remanescente.";O prazo para inserção do PAAR na plataforma Transfere.gov será prorrogado?
Prefeitura Municipal;Prefeitura;Secretaria;Secretário;Bom Despacho;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Precisamos de esclarecimentos sobre a execução e prestação de contas.;Preciso de esclarecimentos e exemplos de ações que se caracterizam como cultura viva.
Prefeitura Municipal de Bom Despacho;Prefeitura;Gestor Público;Indefinido;Bom Despacho;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;No momento não tenho dúvidas;No momento não tenho dúvidas
Secretaria de Cultura E Turismo;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Bom Despacho;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;Diferença entre espaço e ponto de cultura
Fundação Cultural Calmon Barreto;Secretaria Municipal de Cultura;Presidente;Presidente de Fundação;ARAXÁ;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Nenhuma;Elaboração do PAAR junto a comunidade durante a escuta.
Prefeitura Municipal de Açucena;Prefeitura;Assessora;Assessor;Açucena;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Quais informações devemos informar na prestação de contas?;O gestor da pasta poderá adquirir bens permanentes através da PNAB?
Escritório Estadual MG-MinC;Ministério da Cultura;Servidora;Indefinido;Belo Horizonte;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Xxxxxxx;Xxxxxxx
Secretaria de Turismo  Cultura e lazer de José Raydan;Secretaria Municipal de Cultura;Gestor publico;Indefinido;Jose Raydan;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;O que e lpg?;O que e pra?
Secretaria de Turismo, Cultura, Esporte e Lazer;Secretaria Municipal de Cultura;Auxiliar Administrativo;Auxiliar;Tumiritinga;31;MG;MINAS GERAIS;Consultor;Até quando será disponibilizado o recurso;Como é feita a aplicação do recurso
Secretaria do turismo cultura esporte e lazer;Secretaria Municipal de Cultura;Secretaria municipal;Secretário;Tumiritinga;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Até quando o governo disponibilizará recursos para os estados e municípios;Aplicação dos recursos
